CVE_AGEB,NOM_MUN,VIVPAR_DES,VIVTOT,TVIVPAR,VIVPAR_HAB,VPH_PISOTI,VPH_NODREN,VPH_S_ELEC,VPH_SNBIEN,VPH_1CUART,VPH_LETR,PRO_OCUP_C,VPH_INTER,VPH_AUTOM,VPH_PC,VPH_REFRI,GRAPROES,n_bancos,n_cafes,n_inmobiliarias,n_empenos,n_usados,n_yonques
2601800010531,Cajeme,199.0,1333,1324.0,1090.0,9.0,7.0,5.0,7.0,31.0,,0.77,656.0,604.0,443.0,1056.0,10.07,0,0,0,0,0,0
2601800010546,Cajeme,50.0,625,611.0,547.0,0.0,0.0,0.0,0.0,3.0,0.0,0.52,477.0,460.0,402.0,560.0,12.86,1,4,0,0,0,0
2601800010550,Cajeme,113.0,794,773.0,646.0,,0.0,0.0,0.0,3.0,0.0,0.51,601.0,594.0,507.0,664.0,13.57,0,15,2,0,0,0
2601800010565,Cajeme,51.0,542,519.0,460.0,4.0,0.0,0.0,0.0,3.0,0.0,0.47,446.0,462.0,376.0,483.0,13.99,0,10,0,0,0,0
260180001057A,Cajeme,39.0,416,369.0,327.0,,0.0,0.0,0.0,0.0,0.0,0.47,354.0,354.0,321.0,374.0,13.98,3,9,8,0,0,0
2601800010584,Cajeme,15.0,82,77.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,53.0,50.0,39.0,62.0,11.2,19,5,3,0,0,0
2601800010601,Cajeme,185.0,958,946.0,714.0,5.0,0.0,,0.0,7.0,0.0,0.58,618.0,596.0,497.0,716.0,12.99,0,4,0,0,0,0
2601800010616,Cajeme,177.0,1117,1103.0,893.0,3.0,5.0,6.0,7.0,14.0,0.0,0.65,563.0,546.0,385.0,870.0,10.35,0,1,0,0,0,0
2601800010620,Cajeme,175.0,1595,1563.0,1354.0,,0.0,,3.0,16.0,0.0,0.69,978.0,830.0,716.0,1371.0,11.12,2,4,0,0,0,0
2601800010635,Cajeme,43.0,414,398.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,343.0,334.0,289.0,359.0,14.21,2,1,0,0,0,0
260180001064A,Cajeme,153.0,684,681.0,510.0,,,,,12.0,,0.63,355.0,342.0,302.0,497.0,11.77,0,4,1,0,0,0
2601800010654,Cajeme,147.0,638,628.0,464.0,3.0,,3.0,4.0,4.0,0.0,0.58,314.0,304.0,257.0,466.0,12.0,2,2,2,0,0,0
2601800010669,Cajeme,91.0,353,351.0,232.0,0.0,,,,4.0,0.0,0.57,170.0,148.0,141.0,229.0,12.5,2,10,3,0,0,0
2601800010673,Cajeme,22.0,115,112.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,48.0,41.0,43.0,54.0,13.23,19,13,2,0,0,0
2601800010688,Cajeme,12.0,60,59.0,41.0,,,,,3.0,0.0,0.84,17.0,20.0,13.0,36.0,9.73,13,7,1,0,0,0
2601800010692,Cajeme,44.0,180,178.0,126.0,,0.0,0.0,0.0,5.0,0.0,0.77,84.0,77.0,60.0,125.0,11.22,18,6,0,0,0,0
2601800010705,Cajeme,124.0,466,465.0,294.0,3.0,,0.0,,4.0,0.0,0.59,189.0,180.0,155.0,287.0,11.44,2,0,2,0,0,0
260180001071A,Cajeme,306.0,1727,1715.0,1359.0,29.0,7.0,10.0,14.0,41.0,,0.76,712.0,679.0,522.0,1287.0,9.8,0,5,1,0,0,0
2601800010724,Cajeme,117.0,829,826.0,678.0,0.0,,4.0,4.0,10.0,0.0,0.69,442.0,432.0,346.0,658.0,11.77,2,1,0,0,0,0
2601800010739,Cajeme,107.0,538,537.0,400.0,7.0,0.0,,0.0,9.0,0.0,0.69,248.0,212.0,187.0,383.0,10.71,1,2,0,0,0,0
2601800010743,Cajeme,116.0,498,496.0,349.0,,,3.0,4.0,14.0,,0.63,201.0,193.0,173.0,330.0,11.24,5,2,1,0,0,0
2601800010758,Cajeme,144.0,757,754.0,496.0,0.0,,,,20.0,0.0,0.58,376.0,338.0,297.0,485.0,11.87,5,6,0,0,0,0
2601800010762,Cajeme,12.0,91,91.0,68.0,0.0,0.0,,,,0.0,0.49,47.0,43.0,39.0,62.0,12.24,2,2,1,0,0,0
2601800010777,Cajeme,114.0,1071,1067.0,921.0,0.0,,0.0,,12.0,0.0,0.65,690.0,685.0,530.0,909.0,12.25,3,3,0,0,0,0
2601800010781,Cajeme,130.0,1244,1243.0,1062.0,3.0,0.0,0.0,0.0,15.0,0.0,0.63,856.0,831.0,647.0,1046.0,12.08,4,4,0,0,0,0
2601800010796,Cajeme,120.0,1293,1285.0,1054.0,5.0,0.0,0.0,,29.0,0.0,0.63,851.0,830.0,702.0,1048.0,12.32,22,3,1,0,0,0
2601800010809,Cajeme,185.0,1401,1398.0,1170.0,,3.0,5.0,5.0,14.0,3.0,0.66,771.0,722.0,558.0,1140.0,11.0,0,3,0,0,0,0
2601800010813,Cajeme,137.0,1073,1072.0,902.0,4.0,,3.0,5.0,8.0,0.0,0.7,579.0,557.0,435.0,878.0,10.64,0,2,0,0,0,0
2601800010828,Cajeme,155.0,1395,1395.0,1191.0,6.0,,8.0,4.0,18.0,0.0,0.72,849.0,792.0,633.0,1168.0,11.04,1,2,0,0,0,0
2601800010832,Cajeme,170.0,1282,1281.0,1079.0,7.0,,7.0,6.0,13.0,0.0,0.69,702.0,678.0,503.0,1054.0,10.3,0,2,0,0,0,0
2601800010936,Cajeme,63.0,562,478.0,377.0,3.0,0.0,0.0,0.0,4.0,0.0,0.58,434.0,431.0,383.0,461.0,14.17,9,2,0,0,0,0
2601800010955,Cajeme,55.0,641,602.0,529.0,,0.0,0.0,,,0.0,0.54,549.0,545.0,515.0,565.0,14.58,0,0,1,0,0,0
260180001096A,Cajeme,11.0,224,183.0,169.0,,0.0,0.0,0.0,,0.0,0.56,204.0,201.0,196.0,207.0,14.67,0,5,0,0,0,0
2601800010989,Cajeme,82.0,944,944.0,856.0,18.0,,5.0,6.0,22.0,,0.99,409.0,418.0,247.0,818.0,8.43,2,2,0,0,0,0
2601800010993,Cajeme,108.0,913,912.0,798.0,13.0,,17.0,9.0,50.0,,1.07,354.0,333.0,176.0,746.0,8.44,0,1,0,0,0,0
2601800011008,Cajeme,122.0,1048,1031.0,881.0,8.0,3.0,5.0,4.0,37.0,5.0,0.68,663.0,599.0,461.0,873.0,11.01,0,1,0,0,0,0
2601800011012,Cajeme,93.0,760,759.0,657.0,,0.0,3.0,3.0,4.0,0.0,0.74,410.0,328.0,298.0,624.0,10.69,0,3,0,0,0,0
2601800011031,Cajeme,105.0,1131,1078.0,960.0,,0.0,0.0,0.0,19.0,0.0,0.6,919.0,879.0,794.0,1010.0,13.95,0,6,0,0,0,0
2601800011046,Cajeme,68.0,671,661.0,563.0,,,,,3.0,0.0,0.6,499.0,466.0,440.0,568.0,13.21,10,5,0,0,0,0
2601800011050,Cajeme,60.0,265,263.0,202.0,6.0,0.0,0.0,,8.0,0.0,0.82,109.0,112.0,89.0,196.0,9.93,5,4,0,0,0,0
2601800011065,Cajeme,90.0,836,832.0,711.0,29.0,,,,14.0,0.0,0.76,409.0,405.0,298.0,689.0,9.75,2,3,0,0,0,0
2601800011084,Cajeme,158.0,1789,1789.0,1611.0,,0.0,0.0,,,0.0,0.77,1112.0,1021.0,848.0,1591.0,11.24,1,2,0,0,0,0
2601800011099,Cajeme,,2,,,,,,,,,,,,,,,5,11,0,0,0,0
2601800011101,Cajeme,62.0,743,738.0,666.0,8.0,11.0,3.0,11.0,30.0,3.0,1.0,304.0,311.0,189.0,632.0,9.25,0,0,0,0,0,0
2601800011120,Cajeme,70.0,834,833.0,742.0,9.0,,,4.0,9.0,0.0,0.84,391.0,357.0,269.0,698.0,9.7,3,1,0,0,0,0
2601800011135,Cajeme,72.0,821,820.0,737.0,10.0,0.0,8.0,7.0,22.0,0.0,0.87,350.0,341.0,233.0,680.0,9.2,3,2,0,0,0,0
260180001114A,Cajeme,73.0,605,601.0,520.0,0.0,0.0,0.0,,0.0,0.0,0.89,361.0,358.0,277.0,508.0,11.45,1,2,0,0,0,0
2601800011188,Cajeme,64.0,813,810.0,739.0,7.0,,5.0,11.0,27.0,0.0,0.83,389.0,329.0,195.0,708.0,9.21,0,0,0,0,0,0
2601800011192,Cajeme,88.0,603,599.0,505.0,12.0,0.0,6.0,5.0,15.0,0.0,0.88,239.0,248.0,164.0,485.0,9.23,0,2,0,0,0,0
2601800011205,Cajeme,202.0,1364,1347.0,1127.0,13.0,,4.0,6.0,16.0,,0.77,574.0,578.0,379.0,1088.0,9.83,0,2,0,0,0,0
2601800011224,Cajeme,246.0,1618,1617.0,1341.0,5.0,0.0,,5.0,15.0,0.0,0.8,765.0,806.0,530.0,1306.0,10.03,3,3,0,0,0,0
2601800011239,Cajeme,221.0,1623,1620.0,1350.0,4.0,,3.0,,21.0,,0.76,957.0,1023.0,744.0,1333.0,12.25,4,3,0,0,0,0
2601800011243,Cajeme,184.0,1384,1382.0,1167.0,3.0,0.0,0.0,0.0,4.0,0.0,0.78,779.0,763.0,639.0,1145.0,11.46,0,1,0,0,0,0
2601800011281,Cajeme,759.0,7137,7044.0,6157.0,13.0,,9.0,20.0,15.0,0.0,0.99,3561.0,3608.0,2694.0,6042.0,11.07,7,8,0,0,0,0
2601800011366,Cajeme,185.0,721,685.0,461.0,,0.0,0.0,,7.0,0.0,0.57,457.0,402.0,410.0,495.0,14.73,7,14,0,0,0,0
2601800011370,Cajeme,73.0,716,685.0,577.0,,0.0,0.0,0.0,8.0,0.0,0.6,568.0,562.0,499.0,606.0,14.04,0,6,0,0,0,0
2601800011385,Cajeme,168.0,1411,1403.0,1204.0,13.0,5.0,5.0,5.0,50.0,4.0,0.84,736.0,674.0,437.0,1167.0,9.76,0,0,0,0,0,0
260180001139A,Cajeme,143.0,1165,1165.0,1005.0,16.0,,7.0,4.0,42.0,,0.9,601.0,595.0,401.0,963.0,10.4,0,1,0,0,0,0
2601800011402,Cajeme,370.0,2521,2515.0,2126.0,,0.0,4.0,3.0,,0.0,0.72,1314.0,1010.0,875.0,2077.0,10.73,0,2,0,0,0,0
2601800011417,Cajeme,181.0,1425,1413.0,1216.0,9.0,,3.0,6.0,22.0,0.0,0.88,648.0,574.0,438.0,1189.0,9.83,0,1,0,0,0,0
2601800011421,Cajeme,199.0,1479,1465.0,1254.0,113.0,4.0,17.0,13.0,50.0,0.0,1.04,590.0,600.0,318.0,1189.0,9.02,0,1,0,0,0,0
2601800011436,Cajeme,140.0,1239,1239.0,1080.0,,0.0,0.0,0.0,,0.0,0.73,746.0,713.0,530.0,1065.0,11.36,2,0,0,0,0,0
260180001185A,Cajeme,348.0,1315,1285.0,924.0,185.0,86.0,10.0,8.0,166.0,230.0,1.13,432.0,434.0,270.0,824.0,10.01,0,0,0,0,0,0
2601800011864,Cajeme,85.0,884,881.0,794.0,11.0,5.0,4.0,9.0,29.0,4.0,0.96,413.0,399.0,216.0,747.0,9.28,0,1,0,0,0,0
2601800011879,Cajeme,68.0,778,771.0,656.0,,0.0,0.0,0.0,9.0,0.0,0.77,581.0,545.0,499.0,658.0,13.61,3,1,0,0,0,0
2601800011991,Cajeme,56.0,587,583.0,523.0,4.0,,,6.0,14.0,0.0,0.92,280.0,289.0,170.0,498.0,9.48,0,5,0,0,0,0
2601800012006,Cajeme,31.0,405,404.0,363.0,,,,4.0,5.0,0.0,0.94,177.0,191.0,112.0,348.0,9.17,0,0,0,0,0,0
2601800012010,Cajeme,77.0,927,924.0,832.0,,0.0,0.0,,0.0,0.0,0.71,551.0,525.0,426.0,831.0,10.54,0,1,0,0,0,0
2601800012025,Cajeme,62.0,1029,1026.0,945.0,,0.0,,,,0.0,0.69,629.0,610.0,465.0,936.0,10.95,0,2,0,0,0,0
260180001203A,Cajeme,76.0,817,761.0,673.0,7.0,4.0,3.0,4.0,12.0,,0.71,546.0,557.0,457.0,708.0,12.27,0,1,0,0,0,0
2601800012044,Cajeme,104.0,904,832.0,709.0,,0.0,0.0,0.0,0.0,0.0,0.6,707.0,696.0,579.0,777.0,13.91,2,1,0,0,0,0
2601800012059,Cajeme,162.0,906,902.0,720.0,16.0,,10.0,6.0,34.0,,0.92,317.0,315.0,186.0,678.0,8.65,0,1,0,0,0,0
2601800012063,Cajeme,97.0,653,634.0,534.0,9.0,,,,13.0,,0.89,257.0,262.0,139.0,527.0,8.92,0,1,0,0,0,0
2601800012133,Cajeme,6.0,18,18.0,12.0,0.0,,0.0,0.0,0.0,,1.09,5.0,6.0,,12.0,8.28,2,1,0,0,0,0
2601800012148,Cajeme,44.0,329,329.0,282.0,9.0,0.0,,,26.0,,1.15,137.0,144.0,81.0,272.0,9.36,0,1,0,0,0,0
2601800012167,Cajeme,99.0,794,653.0,525.0,,0.0,0.0,0.0,37.0,0.0,0.58,646.0,493.0,571.0,662.0,13.79,5,6,0,0,0,0
2601800012171,Cajeme,95.0,597,538.0,431.0,0.0,0.0,0.0,0.0,21.0,0.0,0.63,455.0,415.0,394.0,488.0,14.06,0,0,0,0,0,0
2601800012186,Cajeme,90.0,735,735.0,631.0,32.0,,4.0,3.0,34.0,,1.02,376.0,305.0,215.0,604.0,9.67,0,6,0,0,0,0
2601800012190,Cajeme,102.0,1266,1252.0,1146.0,9.0,3.0,4.0,5.0,17.0,,0.89,670.0,690.0,454.0,1097.0,10.6,0,0,0,0,0,0
2601800012203,Cajeme,42.0,377,374.0,312.0,,0.0,,0.0,3.0,0.0,0.87,243.0,234.0,191.0,310.0,12.51,0,0,0,0,0,0
2601800012218,Cajeme,22.0,87,87.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,52.0,46.0,45.0,60.0,12.78,0,0,0,0,0,0
2601800012222,Cajeme,37.0,384,383.0,328.0,3.0,0.0,0.0,0.0,6.0,,0.73,304.0,284.0,245.0,325.0,13.06,0,0,0,0,0,0
2601800012311,Cajeme,23.0,148,147.0,115.0,,,0.0,0.0,3.0,,0.71,94.0,99.0,75.0,114.0,12.87,0,0,0,0,0,0
2601800012379,Cajeme,17.0,179,179.0,156.0,,0.0,,3.0,0.0,0.0,1.04,60.0,54.0,39.0,141.0,9.25,0,0,0,0,0,0
2601800012383,Cajeme,86.0,662,657.0,564.0,26.0,5.0,9.0,7.0,36.0,3.0,1.16,169.0,225.0,90.0,507.0,8.7,0,1,0,0,0,0
2601800012398,Cajeme,45.0,248,248.0,202.0,10.0,,4.0,5.0,23.0,,1.27,59.0,69.0,30.0,183.0,8.42,0,1,0,0,0,0
2601800012400,Cajeme,33.0,374,374.0,339.0,25.0,,8.0,8.0,44.0,3.0,1.35,128.0,128.0,66.0,307.0,8.71,0,1,0,0,0,0
2601800012415,Cajeme,0.0,42,41.0,32.0,0.0,0.0,0.0,0.0,,0.0,0.5,33.0,32.0,29.0,33.0,14.87,0,0,0,0,0,0
260180001242A,Cajeme,10.0,55,55.0,44.0,,0.0,0.0,0.0,0.0,0.0,1.01,24.0,26.0,15.0,41.0,10.04,0,0,0,0,0,0
2601800012434,Cajeme,5.0,96,96.0,81.0,0.0,0.0,0.0,0.0,,0.0,0.75,69.0,69.0,63.0,80.0,14.18,0,2,0,0,0,0
2601800012449,Cajeme,71.0,760,755.0,662.0,,0.0,0.0,,,0.0,0.93,481.0,456.0,381.0,656.0,11.84,1,0,0,0,0,0
2601800012557,Cajeme,,2,,,,,,,,,,,,,,,0,0,0,0,0,0
2601800012561,Cajeme,62.0,169,169.0,96.0,3.0,0.0,,3.0,,0.0,1.02,22.0,20.0,7.0,82.0,8.86,0,0,0,0,0,0
2601800012576,Cajeme,38.0,129,129.0,88.0,7.0,3.0,3.0,,12.0,,1.24,18.0,13.0,6.0,80.0,7.66,0,0,0,0,0,0
2601800012580,Cajeme,85.0,437,426.0,337.0,,0.0,0.0,,0.0,0.0,0.98,204.0,123.0,84.0,317.0,9.62,0,0,0,0,0,0
2601800012608,Cajeme,6.0,44,44.0,38.0,0.0,0.0,,0.0,0.0,0.0,0.87,25.0,19.0,18.0,38.0,10.97,0,0,0,0,0,0
2601800012612,Cajeme,49.0,149,147.0,93.0,,4.0,4.0,,9.0,0.0,1.02,37.0,61.0,34.0,83.0,9.82,0,0,0,0,0,0
2601800012627,Cajeme,17.0,96,95.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,66.0,69.0,59.0,74.0,13.36,0,0,0,0,0,0
2601800012631,Cajeme,65.0,707,707.0,602.0,,0.0,0.0,0.0,13.0,0.0,0.93,452.0,433.0,364.0,596.0,11.89,0,1,0,0,0,0
2601800012646,Cajeme,41.0,585,582.0,518.0,0.0,,4.0,,4.0,0.0,1.0,339.0,317.0,259.0,503.0,11.32,1,0,0,0,0,0
2601800012735,Cajeme,0.0,12,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,10.0,12.0,11.0,10.0,14.7,0,0,0,0,0,0
260180001274A,Cajeme,58.0,529,527.0,464.0,9.0,3.0,3.0,4.0,3.0,,0.89,221.0,232.0,138.0,440.0,9.5,0,2,0,0,0,0
2601800012754,Cajeme,51.0,604,600.0,543.0,33.0,0.0,6.0,5.0,23.0,0.0,0.94,252.0,243.0,129.0,515.0,8.72,1,3,1,0,0,0
2601800012769,Cajeme,14.0,70,69.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,23.0,25.0,15.0,55.0,10.17,0,0,0,0,0,0
2601800012773,Cajeme,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2601800012788,Cajeme,32.0,797,783.0,733.0,,0.0,0.0,3.0,0.0,0.0,0.96,448.0,317.0,246.0,704.0,9.4,2,1,0,0,0,0
2601800012792,Cajeme,7.0,351,349.0,324.0,0.0,0.0,3.0,,,0.0,1.07,236.0,163.0,124.0,308.0,10.2,0,0,0,0,0,0
2601800012805,Cajeme,266.0,2064,1945.0,1643.0,6.0,3.0,14.0,22.0,5.0,0.0,1.06,918.0,657.0,577.0,1593.0,9.66,0,1,0,0,0,0
260180001281A,Cajeme,50.0,114,112.0,57.0,,,5.0,,0.0,,0.84,35.0,36.0,26.0,50.0,10.3,0,0,0,0,0,0
2601800012824,Cajeme,193.0,1599,1599.0,1385.0,6.0,0.0,8.0,7.0,35.0,,0.96,914.0,829.0,687.0,1320.0,10.9,0,1,0,0,0,0
2601800012839,Cajeme,10.0,87,87.0,77.0,0.0,0.0,0.0,0.0,,0.0,1.0,57.0,33.0,27.0,75.0,10.79,0,2,0,0,0,0
2601800012843,Cajeme,27.0,373,365.0,329.0,5.0,0.0,,,0.0,0.0,0.92,294.0,238.0,203.0,326.0,11.98,0,0,0,0,0,0
2601800012858,Cajeme,26.0,225,224.0,198.0,0.0,0.0,0.0,,0.0,0.0,0.94,132.0,123.0,101.0,193.0,11.6,7,0,0,0,0,0
2601800012862,Cajeme,,6,,,,,,,,,,,,,,,0,0,0,0,0,0
2601800012877,Cajeme,52.0,622,622.0,546.0,,0.0,,,,0.0,1.05,301.0,262.0,207.0,513.0,10.19,0,0,0,0,0,0
2601800012881,Cajeme,63.0,521,486.0,420.0,,5.0,,5.0,20.0,3.0,1.25,224.0,156.0,115.0,411.0,9.68,0,1,0,0,0,0
2601800012896,Cajeme,6.0,26,26.0,20.0,0.0,0.0,0.0,,0.0,0.0,0.95,6.0,5.0,5.0,19.0,9.22,0,0,0,0,0,0
2601800012909,Cajeme,71.0,463,460.0,383.0,8.0,5.0,14.0,10.0,39.0,,1.33,152.0,122.0,73.0,329.0,8.57,0,0,0,0,0,0
2601800012913,Cajeme,48.0,538,535.0,483.0,13.0,,6.0,9.0,61.0,,1.23,226.0,180.0,88.0,437.0,8.68,0,0,0,0,0,0
2601800012932,Cajeme,77.0,923,918.0,807.0,3.0,0.0,0.0,0.0,0.0,0.0,0.89,547.0,535.0,445.0,791.0,11.75,0,0,0,0,0,0
2601800012947,Cajeme,164.0,1117,1114.0,903.0,5.0,,,,,0.0,0.8,658.0,686.0,553.0,891.0,13.01,0,0,0,0,0,0
2601800012951,Cajeme,8.0,34,31.0,22.0,0.0,0.0,0.0,0.0,,0.0,0.61,24.0,23.0,22.0,25.0,14.03,0,0,0,0,0,0
2601800012966,Cajeme,129.0,1015,1012.0,813.0,0.0,0.0,,,,0.0,0.83,664.0,642.0,580.0,804.0,13.21,0,0,0,0,0,0
2601800012970,Cajeme,230.0,1627,1603.0,1318.0,3.0,0.0,0.0,0.0,28.0,0.0,0.82,1143.0,1100.0,998.0,1331.0,13.49,2,1,0,0,0,0
2601800012985,Cajeme,203.0,1507,1477.0,1038.0,,,,,72.0,0.0,0.75,1002.0,826.0,934.0,1065.0,13.79,1,4,0,0,0,0
260180001299A,Cajeme,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
2601800013004,Cajeme,9.0,68,67.0,57.0,0.0,0.0,0.0,,0.0,0.0,0.63,54.0,50.0,50.0,57.0,14.66,0,0,0,0,0,0
2601800013019,Cajeme,3.0,32,32.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,24.0,25.0,22.0,26.0,14.53,0,0,0,0,0,0
2601800013023,Cajeme,51.0,777,774.0,713.0,,0.0,,,,0.0,0.93,497.0,453.0,362.0,699.0,11.03,1,3,0,0,0,0
2601800013038,Cajeme,90.0,1006,1000.0,907.0,0.0,0.0,3.0,,0.0,,1.02,550.0,530.0,378.0,883.0,10.92,0,1,0,0,0,0
2601800013042,Cajeme,57.0,531,531.0,464.0,3.0,0.0,4.0,4.0,6.0,0.0,0.98,234.0,181.0,165.0,432.0,9.96,0,1,0,0,0,0
2601800013057,Cajeme,122.0,1025,992.0,860.0,3.0,,,8.0,4.0,,0.95,472.0,412.0,297.0,837.0,10.39,0,2,0,0,0,0
2601800013061,Cajeme,0.0,4,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,3.0,,,4.0,10.23,0,0,0,0,0,0
260180001317A,Cajeme,,24,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2601800013184,Cajeme,,45,45.0,41.0,0.0,0.0,0.0,,0.0,0.0,1.55,18.0,11.0,7.0,36.0,8.49,0,0,0,0,0,0
2601800013199,Cajeme,10.0,82,82.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,65.0,28.0,21.0,68.0,10.44,0,0,0,0,0,0
2601800013216,Cajeme,53.0,426,419.0,353.0,,0.0,0.0,0.0,0.0,0.0,0.79,344.0,326.0,286.0,360.0,13.94,0,1,0,0,0,0
2601800013220,Cajeme,0.0,25,24.0,23.0,,0.0,0.0,0.0,0.0,0.0,0.96,24.0,16.0,13.0,23.0,10.8,2,0,0,0,0,0
260180001324A,Cajeme,0.0,14,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,14.0,14.0,14.0,14.0,15.16,0,0,0,0,0,0
2601800013254,Cajeme,128.0,473,472.0,341.0,17.0,4.0,5.0,8.0,19.0,,1.18,57.0,143.0,40.0,308.0,8.73,0,2,0,0,0,0
2601800013273,Cajeme,4.0,31,30.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,21.0,10.0,11.0,26.0,10.47,0,0,0,0,0,0
2601800013288,Cajeme,17.0,106,106.0,89.0,,0.0,0.0,,0.0,0.0,0.94,45.0,45.0,34.0,84.0,11.22,0,0,0,0,0,0
2601800013292,Cajeme,15.0,136,136.0,117.0,0.0,0.0,0.0,3.0,0.0,0.0,1.04,57.0,39.0,29.0,100.0,10.0,0,0,0,0,0,0
2601800013305,Cajeme,4.0,17,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,10.0,13.0,13.0,14.35,0,0,0,0,0,0
260180001331A,Cajeme,50.0,347,340.0,283.0,0.0,0.0,0.0,0.0,,0.0,0.74,273.0,266.0,244.0,290.0,14.58,0,0,0,0,0,0
2601800013324,Cajeme,410.0,1929,1926.0,1440.0,4.0,0.0,,8.0,6.0,0.0,0.91,962.0,915.0,702.0,1382.0,11.89,0,2,0,0,0,0
2601800013339,Cajeme,17.0,129,126.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,104.0,105.0,101.0,108.0,14.03,0,0,0,0,0,0
2601800013343,Cajeme,6.0,106,104.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,88.0,85.0,83.0,92.0,14.56,0,0,0,0,0,0
2601800013358,Cajeme,37.0,252,247.0,195.0,0.0,0.0,0.0,0.0,,0.0,0.54,197.0,198.0,189.0,200.0,15.07,0,0,0,0,0,0
2601800013362,Cajeme,,15,15.0,13.0,,,0.0,0.0,,,0.86,3.0,10.0,6.0,13.0,10.1,0,0,0,0,0,0
2601800013396,Cajeme,4.0,8,8.0,4.0,,,0.0,0.0,,0.0,1.08,3.0,3.0,,4.0,11.7,0,0,0,0,0,0
2601800013409,Cajeme,5.0,37,36.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,29.0,24.0,25.0,32.0,13.6,0,0,0,0,0,0
2601800013413,Cajeme,17.0,43,43.0,26.0,4.0,,,,8.0,,1.36,3.0,5.0,3.0,24.0,7.33,0,0,0,0,0,0
2601800013428,Cajeme,,3,,,,,,,,,,,,,,,0,0,0,0,0,0
2601800013432,Cajeme,5.0,60,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,33.0,29.0,19.0,50.0,10.41,0,0,0,0,0,0
2601800013447,Cajeme,63.0,559,554.0,488.0,,0.0,,5.0,,0.0,0.96,337.0,234.0,180.0,452.0,10.38,0,0,0,0,0,0
2601800013451,Cajeme,175.0,712,710.0,518.0,,0.0,0.0,4.0,0.0,0.0,0.99,178.0,207.0,146.0,463.0,10.01,0,1,0,0,0,0
2601800013466,Cajeme,11.0,72,72.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,21.0,15.0,13.0,54.0,10.07,0,0,0,0,0,0
2601800013470,Cajeme,62.0,419,411.0,345.0,42.0,6.0,3.0,5.0,54.0,3.0,1.4,90.0,143.0,64.0,312.0,8.8,0,1,0,0,0,0
2601800013485,Cajeme,7.0,50,50.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,30.0,35.0,24.0,41.0,12.83,0,0,0,0,0,0
260180001349A,Cajeme,7.0,170,168.0,154.0,0.0,0.0,,0.0,0.0,0.0,0.99,81.0,88.0,59.0,153.0,10.79,0,0,0,0,0,0
2601800013502,Cajeme,92.0,649,641.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,494.0,492.0,443.0,530.0,13.94,0,0,0,0,0,0
2601800013517,Cajeme,134.0,523,518.0,366.0,4.0,0.0,4.0,5.0,,0.0,1.03,203.0,158.0,134.0,347.0,10.37,0,0,0,0,0,0
2601800013521,Cajeme,182.0,909,907.0,697.0,0.0,0.0,3.0,,0.0,,0.99,459.0,341.0,258.0,651.0,10.87,0,2,0,0,0,0
2601800013536,Cajeme,13.0,148,145.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,126.0,121.0,118.0,132.0,14.93,0,0,0,0,0,0
260180001356A,Cajeme,13.0,54,50.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,32.0,37.0,34.0,37.0,14.86,0,0,0,0,0,0
2601800013574,Cajeme,,24,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2601800013589,Cajeme,6.0,15,15.0,9.0,,0.0,0.0,,,0.0,0.84,,,,7.0,9.56,0,0,0,0,0,0
2601800013593,Cajeme,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
